위치,지목,허가면적,용도지역,허가구분,공작물종류,허가일
서울특별시 광진구 능동로 216 ,공원,4.5,일반주거지역,공작물설치,태양광발전시설,2019-08-02
서울특별시 광진구 능동로 216,공원,6.5,일반주거지역,공작물설치,태양광발전시설,2019-08-02
서울특별시 광진구 자양로 145-1,학교,8.12,2종일반주거지역,공작물설치,태양광발전시설,2019-08-20
서울특별시 광장로5길 25-1,학교,9.97,1종일반주거지역,공작물설치,태양광발전시설,2019-10-22
서울특별시 광장동 561-2번지 외2필지,하천,23.49,일반주거지역,공작물설치,태양광발전시설,2019-10-28
서울특별시 광진구 능동로 256,대,2.01,2종일반주거지역,공작물설치,태양광발전시설,2019-11-04
서울특별시 광나루로56길 89,공원,5.76,제1종일반주거지역,공작물설치,태양광발전시설,2019-11-07
서울특별시 천호대로 112길 56,주차장,2.88,제1종일반주거지역,공작물설치,태양광발전시설,2019-12-06
서울특별시 동일로 347,대,1.55,제2종일반주거지역,공작물설치,태양광발전시설,2020-01-07
서울특별시 뚝섬로 568,대,1.6,제3종일반주거지역,공작물설치,태양광발전시설,2020-07-03
서울특별시 아차산로 630,대,1.08,제2종일반주거지역,공작물설치,태양광발전시설,2020-07-03
서울특별시 중곡동241-24 외 3필지,대,2.86,준주거지역,공작물설치,태양광발전시설,2020-11-24
서울특별시 중곡동24-29,대,2.83,제2종일반주거지역,공작물설치,태양광발전시설,2020-11-30
서울특별시 광진구 광장로5길25-1,학교,6.83,제1종일반주거지역,공작물설치,태양광발전시설,2020-12-07
서울특별시 광진구 자양동 680-65,대,12.3,일반주거지역,공작물설치,태양광발전시설,2021-01-05
서울특별시 광진구 광장로5길25-1,학교,6.83,제1종일반주거지역,공작물설치,태양광발전시설,2021-01-11
서울특별시 광진구 강변역로2,대,728.9,제2종일반주거지역,공작물설치,태양광발전시설,2021-04-19
서울특별시 광진구 화양동2-10 외 5필지,대,80.34,준주거지역,토지형질변경,,2021-05-01
서울특별시 광진구 구의동210-67,대,9.92,제2종일반주거지역,토지형질변경,,2021-07-19
서울특별시 광진구 아차산로471,대,385.8,제3종일반주거지역,공작물설치,태양광발전시설,2021-09-03
서울특별시 광진구 구의동593-11,대,49.36,준주거지역,공작물설치,태양광발전시설,2021-12-22
서울특별시 광진구 화양동94-9외6필지,대,178,준주거지역,공작물설치,태양광발전시설,2022-05-30
서울특별시 광진구 자양동2-6 외 36필지,대,648.83,일반상업지역,공작물설치,태양광발전시설,2022-05-31
서울특별시 광진구 광장로5길 25-1(마포삼열기념관),대,135.7,제1종일반주거지역,공작물설치,태양광발전시설,2022-07-11
서울특별시 광진구군자동361-26,대,54.53,준주거지역,공작물설치,태양광발전시설,2022-07-19
서울특별시 광진구 능동18-14,공원,111,제1종전용주거지역,공작물설치,태양광발전시설,2022-08-26
서울특별시 광진구 구의동640-6,임야,237,제2종일반주거지역,토지형질변경,,2022-09-14
서울특별시 광진구 구의동587,대,218.2,제2종일반주거지역,공작물설치,태양광발전시설,2022-09-14
서울특별시 광진구 자양동235-3 외 2필지,전,721,제3종일반주거지역,토지형질변경,,2022-10-20
서울특별시 광진구 광장동26-3,주차장,229.71,자연녹지지역,공작물설치,태양광발전시설,2022-10-21
서울특별시 광진구 광장동358-10,답,187,제1종일반주거지역,토지형질변경,,2022-12-12
서울특별시 광진구 자양동2-2,대,94.28,일반상업지역,공작물설치,태양광발전시설,2022-12-13
서울특별시 광진구 중곡동611-6,대,107.4,제2종일반주거지역,토지형질변경,,2022-12-15
